pl_name,pl_orbper,pl_masse,pl_masseerr1,pl_masseerr2,pl_rade,pl_radeerr1,pl_radeerr2,st_mass,st_rad,st_teff,pl_ttvflag,ra,dec
GJ 676 A e,35.39000000,,,,,,,0.71,,,0,262.546692,-51.636978
Kepler-36 c,16.23855000,8.08000,0.60000,-0.46000,3.679,0.054,-0.054,1.07,1.63,5911.00,1,291.250191,49.231827
Kepler-48 d,42.89610000,7.93000,4.60000,-4.60000,2.040,0.110,-0.110,0.88,0.89,5194.00,0,299.139212,40.949020
K2-18 b,32.93963000,7.96000,1.91000,-1.91000,2.380,0.220,-0.220,0.36,0.41,3457.00,0,172.560455,7.588391
Kepler-223 d,14.78869000,8.00000,1.50000,-1.30000,5.240,0.260,-0.450,1.12,1.72,,1,298.318356,47.279495
55 Cnc e,0.73653900,8.08000,0.31000,-0.31000,1.910,0.080,-0.080,0.91,0.94,5196.00,0,133.149216,28.330818
GJ 3634 b,2.64561000,8.40000,4.00000,-1.50000,,,,0.45,0.43,,0,164.646242,-31.143989
HD 285968 b,8.78360000,,,,,,,0.45,0.45,3679.00,0,70.732407,18.958172
Kepler-131 c,25.51690000,8.25000,5.90000,-5.90000,0.840,0.070,-0.070,1.02,1.03,5685.00,0,288.530825,40.942304
CoRoT-7 c,3.69800000,8.40000,0.90000,-0.90000,,,,0.91,0.82,5259.00,0,100.956125,-1.063033
Kepler-19 b,9.28716000,8.40000,1.60000,-1.50000,,,,0.94,0.86,5544.00,1,290.420839,37.851786
KOI-142 b,10.95416000,8.70000,2.50000,-2.50000,3.780,0.390,-0.360,0.96,0.88,5471.00,1,291.148088,40.669407
Kepler-338 e,9.34100000,8.50000,7.20000,-6.30000,1.560,0.070,-0.070,1.10,1.74,5923.00,1,282.978956,40.784347
Kepler-96 b,16.23850000,8.46000,3.40000,-3.40000,2.670,0.220,-0.220,1.00,1.02,5690.00,0,297.069643,40.525141
BD-06 1339 b,3.87280000,,,,,,,0.70,,4324.00,0,88.251183,-5.994844
K2-111 b,5.35117000,8.60000,3.90000,-3.90000,1.900,0.200,-0.200,0.88,1.23,5730.00,0,59.889755,21.298685
HD 7924 b,5.39792000,,,,,,,0.83,0.78,5075.00,0,20.496313,76.710281
Kepler-102 e,16.14570000,8.93000,2.00000,-2.00000,2.220,0.070,-0.070,0.81,0.76,4909.00,0,281.482749,47.208031
HD 175607 b,29.01000000,,,,,,,0.71,0.70,5392.00,0,285.272858,-66.192680
EPIC 220674823 b,0.57133600,9.00000,1.60000,-1.60000,1.820,0.200,-0.140,0.92,0.95,5496.00,0,13.079780,10.794699
WASP-47 e,0.78963600,9.10000,5.50000,-3.60000,1.820,0.400,-0.400,1.11,1.16,5576.00,0,331.203047,-12.018885
HD 176986 c,16.81910000,,,,,,,0.79,0.78,4931.00,0,285.774475,-11.043926
MOA-2010-BLG-328L b,,9.20000,2.20000,-2.20000,,,,0.11,,,0,269.496333,-30.715175
TCP J05074264+2447555 b,,9.20000,6.60000,-6.60000,,,,0.25,,,0,76.927666,24.798750
HD 40307 d,20.43200000,,,,,,,0.77,,4956.00,0,88.517670,-60.023472
Kepler-62 b,5.71493200,9.00000,,,1.310,0.040,-0.040,0.69,0.64,4925.00,0,283.212747,45.349865
Kepler-25 b,6.23850000,9.60000,4.20000,-4.20000,2.710,0.050,-0.050,1.19,1.31,6270.00,1,286.638393,39.487894
Kepler-20 b,3.69611525,9.70000,1.41000,-1.44000,1.868,0.066,-0.034,0.95,0.96,5495.00,0,287.698004,42.338726
HD 3167 c,29.84540000,9.80000,1.30000,-1.24000,3.010,0.420,-0.280,0.86,0.86,5261.00,0,8.739684,4.381469
Kepler-103 b,15.96540000,9.70000,8.60000,-8.60000,3.370,0.090,-0.090,1.09,1.44,5845.00,1,288.984555,40.064521
K2-38 c,10.56103000,9.90000,4.60000,-4.60000,2.420,0.290,-0.290,1.07,1.10,5757.00,0,240.033585,-23.189287
Kepler-37 b,13.36750000,10.00000,,,0.320,0.020,-0.020,0.80,0.77,5417.00,0,284.059660,44.518131
Kepler-20 d,77.61130017,10.07000,3.97000,-3.70000,2.744,0.073,-0.055,0.95,0.96,5495.00,0,287.698004,42.338726
HD 69830 b,8.66700000,,,,,,,0.86,,5385.00,0,124.599777,-12.632174
K2-32 d,31.71540000,10.30000,4.70000,-4.70000,3.430,0.350,-0.350,0.86,0.84,5275.00,0,252.426086,-19.542822
KOI-94 b,3.74320800,10.50000,4.60000,-4.60000,1.710,0.160,-0.160,1.28,1.52,6182.00,0,297.333057,41.891117
Kepler-106 c,13.57080000,10.44000,3.20000,-3.20000,2.500,0.320,-0.320,1.00,1.04,5858.00,0,300.863971,44.337555
Kepler-305 b,5.48700000,10.50000,2.60000,-2.00000,3.600,0.900,-0.360,0.76,0.79,5100.00,1,299.224311,40.343182
MOA-2009-BLG-266L b,2774.00000000,10.40000,1.70000,-1.70000,,,,0.56,,,0,267.008125,-35.005411
GJ 3138 d,257.80000000,,,,,,,0.68,0.50,3717.00,0,32.295425,-16.339592
HD 160691 d,9.63860000,,,,,,,1.08,,5807.00,0,266.036255,-51.834053
